question,answer
Question_1,Almost Always/Always
Question_2,Rarely/Never
Question_3,Rarely/Never
Question_4,Rarely/Never
Question_5,Occasionally
Question_6,Occasionally
Question_7,Almost Always/Always
Question_8,Often
Question_9,Occasionally
Question_10,Almost Always/Always
Question_11,Occasionally
Question_12,Almost Always/Always
Question_13,Almost Always/Always
Question_14,Rarely/Never
Question_15,Almost Always/Always
Question_16,Rarely/Never
Question_17,Occasionally
Question_18,Rarely/Never
Question_19,Occasionally
Question_20,Occasionally
Question_21,Rarely/Never
Question_22,Rarely/Never
Question_23,Almost Always/Always
Question_24,Occasionally
Question_25,Rarely/Never
Question_26,Occasionally
Question_27,Occasionally
Question_28,Occasionally
Question_29,Almost Always/Always
Question_30,Almost Always/Always
