balloonType,outcome,reactionTime (ms),inflationTime (ms),reward
gray,popped,1446.8999999761581,2901.100000023842,0
red,banked,298.80000001192093,1266.6000000238419,12
gray,popped,302.39999997615814,2900.300000011921,12
yellow,banked,466.80000001192093,1024.2999999523163,22
red,banked,231.80000001192093,1240.300000011921,34
orange (special),banked,308.10000002384186,3002.7999999523163,63
orange,banked,304.0999999642372,3481.800000011921,97
gray,popped,347.7000000476837,2901.7999999523163,97
yellow,banked,116.40000003576279,3900.199999988079,135
gray,popped,490.80000001192093,2903.199999988079,135
orange,popped,240.89999997615814,3100.600000023842,135
orange,popped,261.60000002384186,2602.099999964237,135
red,popped,273.39999997615814,1501.9000000357628,135
red,banked,319.0999999642372,1341.7000000476837,148
yellow,popped,210.89999997615814,4201.699999988079,148
yellow,banked,641.5,3736.699999988079,185
orange,popped,389.10000002384186,2903.199999988079,185
yellow,banked,298.19999998807907,3603.300000011921,221
orange,popped,195.5,2502.599999964237,221
yellow,banked,290.5,3572.600000023842,256
orange,banked,253.69999998807907,2240.699999988079,278
orange,banked,277.30000001192093,1919.5,297
yellow (special),banked,232.5999999642372,3601.300000011921,332
orange (special),banked,270.2000000476837,2601.199999988079,357
gray,popped,160.0999999642372,2901.600000023842,357
yellow (special),banked,285.80000001192093,3701,393
orange,banked,62.299999952316284,1999.2000000476837,412
orange (special),banked,238.60000002384186,2802.099999964237,439
red,popped,286.19999998807907,1101.199999988079,439
yellow (special),banked,468.80000001192093,4500.800000011921,483
orange,banked,258.19999998807907,1738.800000011921,500
gray,popped,255.60000002384186,2900.899999976158,500
red,popped,513.6999999880791,2102.300000011921,500
gray,popped,1014,2901.199999988079,500
red (special),banked,246.60000002384186,2003.5,519
red,popped,440,1901.699999988079,519
yellow (special),banked,1431.699999988079,4201.099999964237,560
orange (special),banked,169.10000002384186,3302,592
orange,banked,116.5,3125.199999988079,623
red,popped,199,1502.800000011921,623
orange,banked,511,2999.199999988079,652
yellow,popped,545.6999999880791,3101.199999988079,652
orange,popped,843,2903,652
orange,banked,515.3999999761581,2364.100000023842,675
gray,popped,437.30000001192093,2901,675
red,popped,275.69999998807907,2001.5,675
gray,popped,315,2903.199999988079,675
yellow,banked,520.9000000357628,1070.5,685
yellow,banked,606.8999999761581,3020.199999988079,715
orange,banked,269.19999998807907,1992.1000000238419,734
yellow,banked,1027.3999999761581,3396.199999988079,767
yellow,banked,840.6000000238419,3279.800000011921,799
gray,popped,291,2900.699999988079,799
red,popped,237.69999998807907,2301.5,799
orange,banked,53.5,2517.400000035763,824
gray,popped,413.0999999642372,2901.800000011921,824
orange,banked,394.30000001192093,1528.5,839
yellow,banked,1002.1999999880791,3114.300000011921,870
orange,banked,355.7000000476837,2717.099999964237,897
red,banked,416.9000000357628,1323,910
orange,popped,541.6999999880791,2701.100000023842,910
yellow,banked,166.69999998807907,3140.599999964237,941
yellow,popped,422.39999997615814,3701.2000000476837,941
yellow,banked,338.30000001192093,3021.099999964237,971
red,popped,861.6000000238419,1402.300000011921,971
gray,popped,283.69999998807907,2901.400000035763,971
orange,banked,111,2353.5,994
orange,banked,259.30000001192093,2283.5,1016
orange (special),banked,455.39999997615814,3501.400000035763,1050
yellow,banked,284.60000002384186,3556.199999988079,1085
yellow (special),banked,281.80000001192093,3300.600000023842,1117
gray,popped,44.80000001192093,2902,1117
yellow,popped,110.60000002384186,3802.100000023842,1117
yellow (special),banked,316.80000001192093,4402.699999988079,1160
gray,popped,245.0999999642372,2901.100000023842,1160
red (special),banked,467.19999998807907,1402.8999999761581,1173
orange,popped,281.60000002384186,3002.2999999523163,1173
yellow,popped,246.80000001192093,3200.399999976158,1173
orange,banked,679.9000000357628,1712.3999999761581,1190
red,banked,197.79999995231628,1084,1200
red (special),banked,197.39999997615814,1703.300000011921,1216
red,popped,230.89999997615814,1701.9000000357628,1216
yellow,banked,408.30000001192093,1299.199999988079,1228
orange (special),banked,1037.3999999761581,2501.899999976158,1252
red,banked,705.1999999880791,1217.5,1264
orange,banked,527.3000000119209,1643,1280
orange,banked,231,1839.4000000357628,1298
red (special),banked,337.5,1600.2999999523163,1313
orange,banked,757.6000000238419,1576,1328
orange,banked,21718.899999976158,1701.199999988079,1344
red,banked,1704.7000000476837,1679.2999999523163,1360
yellow,banked,47.5,1437.8999999761581,1374
red,banked,605.3000000119209,1327.2999999523163,1387
gray,popped,992.8000000119209,2901,1387
yellow,banked,2384.800000011921,1044.800000011921,1397
red,banked,4955.699999988079,1440.5,1411
orange,banked,836.1000000238419,2341,1434
orange,popped,1026.6000000238419,2500.300000011921,1434
yellow,banked,1166.699999988079,4798.199999988079,1481
yellow,popped,442.69999998807907,4001.400000035763,1481
orange,popped,471.10000002384186,2302.199999988079,1481
red,banked,490.0999999642372,2011.9000000357628,1501
yellow,popped,579.8000000119209,3702.5,1501
yellow (special),banked,148.20000004768372,4902.699999988079,1549
yellow,banked,477.19999998807907,1256.1000000238419,1561
yellow,banked,656.3000000119209,3791.600000023842,1598
orange,popped,354.0999999642372,1704.1000000238419,1598
orange (special),banked,3077.300000011921,3200.599999964237,1629
gray,popped,1239.7000000476837,2901,1629
yellow,banked,408.4000000357628,3863.199999988079,1667
yellow (special),banked,464.89999997615814,4402.699999988079,1710
orange,banked,4111.899999976158,2700.800000011921,1736
orange,popped,643.5999999642372,2602.100000023842,1736
orange,popped,5847.300000011921,2603.300000011921,1736
red,popped,441.60000002384186,2203.300000011921,1736
yellow (special),banked,6797.400000035763,3802.599999964237,1773
red,popped,356.4000000357628,1201,1773
orange,banked,206.80000001192093,1246.699999988079,1785
orange,banked,260.60000002384186,1195,1796
yellow,banked,2841,2538.800000011921,1821
red,popped,393.19999998807907,1703.800000011921,1821
gray,popped,498.60000002384186,2900.699999988079,1821
yellow,banked,496.5,1462.3999999761581,1835
red,banked,362,1384,1848
orange,banked,378.0999999642372,1394.7000000476837,1861
yellow,banked,525.3000000119209,3920.399999976158,1900
red,popped,464.5,1200.9000000357628,1900
gray,popped,662.6000000238419,2900.7999999523163,1900
yellow,banked,463,2143.399999976158,1921
gray,popped,487.30000001192093,2900.300000011921,1921
red,popped,566.5,1501.5,1921
orange,banked,625.6999999880791,1653.9000000357628,1937
orange,banked,534.5999999642372,1511.199999988079,1952
red (special),banked,397,1502.7000000476837,1966
yellow,banked,435.30000001192093,2107.399999976158,1987
gray,popped,411.7999999523163,2902,1987
red,banked,96.60000002384186,1475.5,2001
red,popped,464.80000001192093,1600.8999999761581,2001
yellow,banked,3076.599999964237,3586.400000035763,2036
red,banked,409.10000002384186,2012.199999988079,2056
yellow,banked,359.2999999523163,3951.5,2095
orange (special),banked,830.3000000119209,2802,2122
yellow (special),banked,217.60000002384186,3702,2158
yellow,banked,492.39999997615814,3671.199999988079,2194
red,banked,750.4000000357628,1504,2209
gray,popped,831.3999999761581,2902.600000023842,2209
red,popped,591.3999999761581,1102.3999999761581,2209
red,popped,549.4000000357628,2202.899999976158,2209
red,banked,443.5999999642372,2118.600000023842,2230
red,banked,562.1000000238419,1245.0999999642372,2242
yellow,banked,397.60000002384186,2279.2999999523163,2264
gray,popped,6246.199999988079,2901.699999988079,2264
orange,banked,399.30000001192093,2400.2999999523163,2287
orange,popped,585.3000000119209,3003.099999964237,2287
yellow,popped,897.5,4001.800000011921,2287
red,banked,2824.199999988079,992.6999999880791,2296
red (special),banked,304.69999998807907,1502.199999988079,2310
red,popped,3207,1102.2000000476837,2310
orange,banked,1139.7999999523163,2184.900000035763,2331
orange,banked,22569.69999998808,2684.800000011921,2357
gray,popped,1450.1000000238419,2902.699999988079,2357
yellow,banked,2409.2999999523163,4259.200000047684,2399
orange (special),banked,517,3100.399999976158,2429
orange,banked,314.7000000476837,1428.8999999761581,2443
yellow,banked,14077.100000023842,4205.5,2485
yellow,banked,839,4899.200000047684,2533
orange,banked,1761.4000000357628,1610.7999999523163,2549
orange,banked,1071.5,2244.399999976158,2571
yellow (special),banked,646.0999999642372,5400.199999988079,2624
red,popped,270.0999999642372,1900.6000000238419,2624
orange,popped,360.69999998807907,3202,2624
yellow,banked,278.80000001192093,2408.100000023842,2648
yellow,banked,715.6999999880791,3043.600000023842,2678
orange,banked,3519,3605,2714
yellow,banked,654.8000000119209,3625.899999976158,2750
gray,popped,719,2900.300000011921,2750
red,banked,626.7000000476837,1898.5999999642372,2768
yellow,popped,401.10000002384186,3403.899999976158,2768
yellow,banked,406.39999997615814,3986,2807
red (special),banked,1477.6000000238419,1102.300000011921,2817
yellow,popped,383.5,4100.900000035763,2817
yellow,banked,452.4000000357628,4270.099999964237,2859
orange,banked,425.80000001192093,3020.899999976158,2889
yellow,banked,1750.5,2954.399999976158,2918
red,popped,520.6000000238419,1500.2999999523163,2918
orange,banked,665.3000000119209,1991.3999999761581,2937
yellow,popped,422.7000000476837,3701.399999976158,2937
orange,banked,810.8000000119209,2675.5,2963
yellow,banked,1645.199999988079,4240.800000011921,3005
yellow,popped,677.5,3301.399999976158,3005
red (special),banked,290.9000000357628,1402.0999999642372,3018
gray,popped,414,2901,3018
orange,banked,590.1000000238419,2284.199999988079,3040
orange (special),banked,534.3000000119209,2603.699999988079,3065
orange,banked,798.1999999880791,2880.899999976158,3093
red,banked,749.7000000476837,1553.2999999523163,3108
gray,popped,931.1000000238419,2902.699999988079,3108
orange,popped,21983.900000035763,2303.099999964237,3108
yellow,popped,1.600000023841858,3902.300000011921,3108
orange,banked,2237.199999988079,3291.800000011921,3140
red,banked,264,1614,3156
red,popped,190.60000002384186,1201.199999988079,3156
yellow,banked,34.799999952316284,2353.5,3179
orange,banked,255.10000002384186,1985,3198
orange,banked,575.6000000238419,2645.199999988079,3224
orange (special),banked,175.5,2900.899999976158,3252
yellow,banked,393.69999998807907,2777.399999976158,3279
red,banked,54.5,1767,3296
orange,popped,497.69999998807907,3202.400000035763,3296
red,popped,95.40000003576279,2000.699999988079,3296
orange,banked,327.39999997615814,3104.5,3327
red,popped,379.4000000357628,1403.5,3327
gray,popped,526.5,2900.2999999523163,3327
yellow,popped,451.5,4000.800000011921,3327
red,banked,549.8999999761581,1870.6000000238419,3345
orange,banked,201,2362.600000023842,3368
orange,popped,335.2999999523163,2401.400000035763,3368
orange,banked,3129.199999988079,2395.5,3391
orange,popped,12351.899999976158,2001.199999988079,3391
gray,popped,289.5,2900.800000011921,3391
yellow,banked,487.19999998807907,4083.699999988079,3431
gray,popped,232.5,2903.199999988079,3431
orange,banked,350,2627.199999988079,3457
red (special),banked,1087.199999988079,2300.800000011921,3479
yellow,banked,4046.100000023842,3891.600000023842,3517
orange,banked,809.3999999761581,2264.399999976158,3539
orange,banked,496,2414.899999976158,3563
orange,banked,262.5,1921,3582
orange,popped,297.69999998807907,2302.600000023842,3582
yellow,banked,424.19999998807907,3518.100000023842,3617
red,banked,273.89999997615814,1285.300000011921,3629
orange (special),banked,264,3002,3658
yellow,banked,463.30000001192093,2876.199999988079,3686
yellow,banked,3821.600000023842,4315.599999964237,3729
orange,banked,470.19999998807907,2123.599999964237,3750
red,popped,334.10000002384186,1001.6999999880791,3750
orange,banked,371.19999998807907,1494.699999988079,3764
orange,banked,459,1279.9000000357628,3776
red,banked,1076.3999999761581,1498.699999988079,3790
orange,popped,473.2000000476837,2801,3790
gray,popped,683.1999999880791,2903.399999976158,3790
red,popped,625.8999999761581,2200.300000011921,3790
red,banked,677.2999999523163,1500.6000000238419,3804
yellow,banked,121.80000001192093,3927.5,3843
red,popped,662.5,1302.199999988079,3843
red,popped,1234.800000011921,1501.7999999523163,3843
orange,banked,203,1634,3859
gray,popped,483.5999999642372,2901.900000035763,3859
red,banked,339.89999997615814,1450.9000000357628,3873
yellow,banked,445,2231.399999976158,3895
